PN BRC,Fornitore,Descrizione,Misura,Serial Number,Tipo Prodotto,Quantità,tipologia,Stato,Ubicazione,Prelievo,Controllo Gen/26,,TIPOLOGIA,FORMA,DIAMETRO,RAGGIO,LUNGHEZZA
,CERATIZIT,WNT FRESA DIAMANTATA D8X 0.35,D8,5405908200,FRESA,1,DIAMANTATA,NUOVO,DIAMANTATE 2,,TRUE,,,,,,
,CERATIZIT,PUNTA D 3XD,D3,10787030,PUNTA,3,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,PUNTA D3XD,D3,1170403000,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D 3,D3,1170303000,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
BRCL000400000344,CERATIZIT,WNT PUNTA D3.3 R5,D3.3,11 703 03300,PUNTA,4,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
BRCL000400000407,CERATIZIT,WNT PUNTA D3.2,D3.2,10 787 032,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,PUNTA D3.8,D3.8,1170403000,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D3.3 R5,D3.3,11702 03300,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,PUNTA D4.5,D4.5 ,1170204000,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D4.5,D4.5,11 703 04000,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D4.3,D4.3,1170304300,PUNTA,5,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D4.5,D4.5,10 700 045,PUNTA,3,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
BRCL000400000047,CERATIZIT,WNT PUNTA D4.5,D4.5,,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
BRCL000400000347,CERATIZIT,PUNTA D5,D5,,PUNTA,7,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D5,D5,,PUNTA,1,METALLO DURO,USATO,PUNTE1,,TRUE,,,,,,
BRCL01242C,CERATIZIT,PUNTA D5,D5,,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,PUNTA D5.2,D5.2,11 703 05200,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D5,D5,11 702 05000,PUNTA,1,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,PUNTA D5.5,D5.5 ,11 702 05000,PUNTA,4,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D5.8,D5.8,10 700 058,PUNTA,3,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
BRCL000400000177,CERATIZIT,WNT PUNTA D6,D6,,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D5.5,D5.5,,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,PUNTA D6.4,D6.4,11 702 06400,PUNTA,3,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D6.20,D6.2,11 702 06200,PUNTA,3,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D5, D5,10 787 050,PUNTA,2,METALLO DURO,NUOVO,PUNTE1,,TRUE,,,,,,
