Descrizione Originale,Tipologia,Forma,Diametro,Diametro Nominale,Raggio,Passo,Tolleranza,Lunghezza,Angolo,Rotazione,Materiale,Rivestimento,Stato,Ubicazione,Codice,Serial Number,Fornitore,Quantità,Lavorazione,Sistema di misura,Alias,Check
KARNASCH PUNTA D8.8  L103,Punta,,D8.8,8.8,,,,,,Dx,,,NUOVO,PUNTE3,BRCL01048C,,RAFF,1,Foratura,Metrico,KARNASCH PUNTA D8.8  L103,KARNASCH
PUNTA VETRO D8,Punta,,D8,8.0,,,,,,Dx,VETRO,,NUOVO,PUNTE3,,,BURZONI,5,Foratura,Metrico,PUNTA VETRO D8,
KARNASCH PUNTA D12X0.56,Punta,,D12,12.0,,0.56,,,,Dx,,,NUOVO,PUNTE3,,,RAFF,2,Foratura,Metrico,KARNASCH PUNTA D12X0.56,KARNASCH D12X0
PUNTA CARBONIO D12.4,Punta,,D12.4,12.4,,,,,,Dx,CARBONIO,,USATO,PUNTE3,,,,1,Foratura,Metrico,PUNTA CARBONIO D12.4,
SMUSSATORE D11 100°,Smussatore,,D11,11.0,,,,,100°,Dx,,,USATO,SMUSSATORI,,,,1,,Metrico,SMUSSATORE D11 100°,
WNT SMUSSATORE D12 36°,Smussatore,,D12,12.0,,,,,36°,Dx,,,USATO,SMUSSATORI,,,CERATIZIT,1,,Metrico,WNT SMUSSATORE D12 36°,WNT
FRCO SMUSSATORE D20 100°,Smussatore,,D20,20.0,,,,,100°,Dx,,,USATO,SMUSSATORI,,,RAFF,1,,Metrico,FRCO SMUSSATORE D20 100°,FRCO
SMUSSATORE D10 90°,Smussatore,,D10,10.0,,,,,90°,Dx,,,NUOVO,SMUSSATORI,BRCL01163C,RAFF-SDT90-D.10,RAFF,2,,Metrico,SMUSSATORE D10 90°,
SMUSSATORE D8,Smussatore,,D8,8.0,,,,,,Dx,,,NUOVO,SMUSSATORI,,,RAFF,2,,Metrico,SMUSSATORE D8,
SMUSSATORE D30,Smussatore,,D30,30.0,,,,,,Dx,,,USATO,SMUSSATORI,,,BURZONI,5,,Metrico,SMUSSATORE D30,
SMUSSATORE D16.5,Smussatore,,D16.5,16.5,,,,,,Dx,,,USATO,SMUSSATORI,,,BURZONI,1,,Metrico,SMUSSATORE D16.5,
SMUSSATORE D12 50°,Smussatore,,D12,12.0,,,,,50°,Dx,,,USATO,SMUSSATORI,,,,1,,Metrico,SMUSSATORE D12 50°,
POLLEDRO D11,Lamatore,,D11,11.0,,,,,,Dx,,,NUOVO,POLLEDRI,,10.11.110,POLLEDRI,2,Lamatura,Metrico,POLLEDRO D11,POLLEDRO
POLLEDRO D13,Lamatore,,D13,13.0,,,,,,Dx,,,NUOVO,POLLEDRI,,10.11.130,POLLEDRI,1,Lamatura,Metrico,POLLEDRO D13,POLLEDRO
POLLEDRO D8,Lamatore,,D8,8.0,,,,,,Dx,,,NUOVO,POLLEDRI,,11.16.080,POLLEDRI,2,Lamatura,Metrico,POLLEDRO D8,POLLEDRO
POLLEDRO D6,Lamatore,,D6,6.0,,,,,,Dx,,,NUOVO,POLLEDRI,,11.16.060,POLLEDRI,1,Lamatura,Metrico,POLLEDRO D6,POLLEDRO
POLLEDRO D10,Lamatore,,D10,10.0,,,,,,Dx,,,NUOVO,POLLEDRI,,11.16.100,POLLEDRI,1,Lamatura,Metrico,POLLEDRO D10,POLLEDRO
POLLEDRO D14,Lamatore,,D14,14.0,,,,,,Dx,,,NUOVO,POLLEDRI,,60.01.140,POLLEDRI,3,Lamatura,Metrico,POLLEDRO D14,POLLEDRO
POLLEDRO D16,Lamatore,,D16,16.0,,,,,,Dx,,,NUOVO,POLLEDRI,,60.01.160,POLLEDRI,2,Lamatura,Metrico,POLLEDRO D16,POLLEDRO
POLLEDRO D15,Lamatore,,D15,15.0,,,,,,Dx,,,NUOVO,POLLEDRI,,11.11.150,POLLEDRI,1,Lamatura,Metrico,POLLEDRO D15,POLLEDRO
POLLEDRO D19,Lamatore,,D19,19.0,,,,,,Dx,,,NUOVO,POLLEDRI,,11.11.190,POLLEDRI,1,Lamatura,Metrico,POLLEDRO D19,POLLEDRO
POLLEDRO D4,Lamatore,,D4,4.0,,,,,,Dx,,,NUOVO,POLLEDRI,,10.16.040,POLLEDRI,1,Lamatura,Metrico,POLLEDRO D4,POLLEDRO
POLLEDRO D6,Lamatore,,D6,6.0,,,,,,Dx,,,NUOVO,POLLEDRI,,10.16.060,POLLEDRI,1,Lamatura,Metrico,POLLEDRO D6,POLLEDRO
POLLEDRO D15 90°,Lamatore,,D15,15.0,,,,,90°,Dx,,,NUOVO,POLLEDRI,,10.12.150,POLLEDRI,1,Lamatura,Metrico,POLLEDRO D15 90°,POLLEDRO
GUHRING FRESA METALLO DURO D6,Fresa,Candela,D6,6.0,,,,,,Dx,METALLO DURO,,USATO,FRESA METALLI1,BRCL01416C,2910-6.004 DIN371,FIMU,2,Fresatura,Metrico,GUHRING FRESA METALLO DURO D6,GUHRING
GARANT FRESA CARBONIO D12/05,Fresa,Candela,D12,12.0,,,,,,Dx,CARBONIO,,USATO,FRESA METALLI2,,209760 12/05,HOFFMAN,5,Fresatura,Metrico,GARANT FRESA CARBONIO D12/05,GARANT
KARNASCH FRESA DIAMANTATA D4,Fresa,Karnasch,D4,4.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,BRCL00187C,291763.0400.16,RAFF,3,Fresatura,Metrico,KARNASCH FRESA DIAMANTATA D4,DIAMANTATA
OSG PUNTA METALLO DURO D3.2 8D,Punta,,D3.2,3.2,,,,,,Dx,METALLO DURO,,NUOVO,PUNTE1,,8684320,RAFF,2,Foratura,Metrico,OSG PUNTA METALLO DURO D3.2 8D,8D OSG
OSG PUNTA METALLO DURO D4.3  8D,Punta,,D4.3,4.3,,,,,,Dx,METALLO DURO,,NUOVO,PUNTE1,,8684430,RAFF,2,Foratura,Metrico,OSG PUNTA METALLO DURO D4.3  8D,8D OSG
INSERTI FRESA SFERICA D25,Inserto,,D25,25.0,,,,,,Dx,,,USATO,INSERTI FRESA,,5614736800,CERATIZIT,4,,Metrico,INSERTI FRESA SFERICA D25,INSERTI SFERICA FRESA
GUHRING PUNTA METALLO DURO D2.05,Punta,,D2.05,2.05,,,,,,Dx,METALLO DURO,,NUOVO,PUNTE1,,6488-2.050,FIMU,1,Foratura,Metrico,GUHRING PUNTA METALLO DURO D2.05,GUHRING
GUHRING PUNTA METALLO DURO D1.8,Punta,,D1.8,1.8,,,,,,Dx,METALLO DURO,,NUOVO,PUNTE1,,6400-1.800,FIMU,1,Foratura,Metrico,GUHRING PUNTA METALLO DURO D1.8,GUHRING
KENNAMETAL PUNTA D1.5,Punta,,D1.5,1.5,,,,,,Dx,,,NUOVO,PUNTE1,,B051A01500CPG,FIMU,1,Foratura,Metrico,KENNAMETAL PUNTA D1.5,KENNAMETAL
OSG PUNTA METALLO DURO D1.6 X12,Punta,,D1.6,1.6,,12.0,,,,Dx,METALLO DURO,,NUOVO,PUNTE1,,8577160,RAFF,1,Foratura,Metrico,OSG PUNTA METALLO DURO D1.6 X12,OSG
GUHRING PUNTA METALLO DURO D3.25  X8,Punta,,D3.25,3.25,,8.0,,,,Dx,METALLO DURO,,NUOVO,PUNTE2,,5768-3.25,FIMU,2,Foratura,Metrico,GUHRING PUNTA METALLO DURO D3.25  X8,GUHRING
GUHRING ALESATORE D2 H7,Alesatore,,D2,2.0,,,H7,,,Dx,,,NUOVO,ALESATORI,BRCL01071C,1429-2.000,FIMU,1,,Metrico,GUHRING ALESATORE D2 H7,GUHRING
CERIN FRESA D8,Fresa,Candela,D8,8.0,,,,,,Dx,,,NUOVO,DIAMANTATE 1,,68SX 0800932100DM,RAFF,1,Fresatura,Metrico,CERIN FRESA D8,CERIN
SECO FRESA DIAMANTATA D8,Fresa,Candela,D8,8.0,,,,,,Dx,,Diamante,USATO,DIAMANTATE 1,BRCL000400000075,6042378,FIMU,1,Fresatura,Metrico,SECO FRESA DIAMANTATA D8,SECO DIAMANTATA
FRESA DIAMANTATA D8,Fresa,Candela,D8,8.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,VHM 19406 KD14,JONGEN,1,Fresatura,Metrico,FRESA DIAMANTATA D8,DIAMANTATA
FRESA DIAMANTATA D8,Fresa,Candela,D8,8.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,VHM,JONGEN,1,Fresatura,Metrico,FRESA DIAMANTATA D8,DIAMANTATA
SECO FRESA DIAMANTATA D6,Fresa,Candela,D6,6.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,02720258,FIMU,2,Fresatura,Metrico,SECO FRESA DIAMANTATA D6,SECO DIAMANTATA
SECO FRESA DIAMANTATA D12,Fresa,Candela,D12,12.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,5991125,FIMU,1,Fresatura,Metrico,SECO FRESA DIAMANTATA D12,SECO DIAMANTATA
GARANT FRESA CARBONIO D8,Fresa,Candela,D8,8.0,,,,,,Dx,CARBONIO,,NUOVO,DIAMANTATE 1,BRCL01418C,209517 8,HOFFMAN,1,Fresatura,Metrico,GARANT FRESA CARBONIO D8,GARANT
GUHRING PUNTA ALLUMINIO NUDA D5,Punta,,D5,5.0,,,,,,Dx,ALLUMINIO,Nuda,NUOVO,DIAMANTATE 1,BRCL01376C,1149-6.000,FIMU,1,Foratura,Metrico,GUHRING PUNTA ALLUMINIO NUDA D5,GUHRING
SPPW GARANT PUNTA D5.5,Punta,,D5.5,5.5,,,,,,Dx,,,NUOVO,PUNTE3,BRCL01402C,7631 180 0550HC,HOFFMAN,3,Foratura,Metrico,SPPW GARANT PUNTA D5.5,SPPW GARANT
SMUSSATORE D20 82°,Smussatore,,D20,20.0,,,,,82°,Dx,,,NUOVO,SMUSSATORI,BRCL01353,02985,RAFF,1,,Metrico,SMUSSATORE D20 82°,
DC MASCHIO AMERICANO 5/16,Maschio,,5/16,7.9375,,,,,,Dx,,,NUOVO,MASCHI A,BRCL01414C,SA350-3,DC,1,Filettatura,Americano,DC MASCHIO AMERICANO 5/16,AMERICANO DC
NOVATEA INSERTO FRESA PETTINE,Inserto,,413,413.0,,,,,,Dx,,,NUOVO,INSERTI FRESA,BRCL01375C,007VTX/007TMVBX,NOVATEA,2,,,NOVATEA INSERTO FRESA PETTINE,NOVATEA PETTINE FRESA
GUHRING MASCHIO AMERICANO 5/16,Maschio,,5/16,7.9375,,,,,,Dx,,,NUOVO,MASCHI A,BRCL01049C,HSSE 22919707,FIMU,2,Filettatura,Americano,GUHRING MASCHIO AMERICANO 5/16,AMERICANO GUHRING
WNT PUNTA D9.8  140°,Punta,,D9.8,9.8,,,,,140°,Dx,,,NUOVO,PUNTE2,,1170309800,CERATIZIT,1,Foratura,Metrico,WNT PUNTA D9.8  140°,WNT
KARNASCH FRESA RIAFFILATA D16 L2,Fresa,Karnasch,D16,16.0,,,,,,Dx,,,RIAFFILATA,DIAMANTATE 1,,291763305239,RAFF,1,Fresatura,Metrico,KARNASCH FRESA RIAFFILATA D16 L2,RIAFFILATA
HOLEX ALESATORE D10,Alesatore,,D10,10.0,,,,,,Dx,,,NUOVO,ALESATORI,,4045197937247,HOFFMAN,1,,Metrico,HOLEX ALESATORE D10,HOLEX
SECO ALESATORE D 9.533,Alesatore,,D9.533,9.533,,,,,,Dx,,,NUOVO,ALESATORI,BRCL01358C,6230210,FIMU,1,,Metrico,SECO ALESATORE D 9.533,D SECO
SPPW PUNTA CARBONIO D7,Punta,,D7,7.0,,,,,,Dx,CARBONIO,,NUOVO,PUNTE3,,731 180 0700HC,SPPW,2,Foratura,Metrico,SPPW PUNTA CARBONIO D7,SPPW
GUHRING ALESATORE D16 H7,Alesatore,,D16,16.0,,,H7,,,Dx,,,NUOVO,ALESATORI,BRCL01372C,K10 23575490,FIMU,1,,Metrico,GUHRING ALESATORE D16 H7,GUHRING
WNT FRESA METALLO DURO D7,Fresa,Candela,D7,7.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,53 613 07400,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D7,WNT
GUHRING INSERTI FRESA D17.5,Inserto,,D17.5,17.5,,,,,,Dx,,,NUOVO,INSERTI FRESA,,K/P23490704,FIMU,5,,Metrico,GUHRING INSERTI FRESA D17.5,INSERTI GUHRING FRESA
GUHRING INSERTI FRESA D13 UR,Inserto,,D13,13.0,,,,,,Dx,,,NUOVO,INSERTI FRESA,,4115-1300,FIMU,0,,Metrico,GUHRING INSERTI FRESA D13 UR,INSERTI GUHRING UR FRESA
SECO FRESA  D16  R1=2,Fresa,Torica,D16,16.0,1.0,,,,,Dx,,,USATO,FRESA METALLI2,,5964752,FIMU,1,Fresatura,Metrico,SECO FRESA  D16  R1=2,SECO
GUHRING ALESATORE D10  H7,Alesatore,,D10,10.0,,,H7,,,Dx,,,NUOVO,ALESATORI,BRCL01359C,K10 23603347,FIMU,1,,Metrico,GUHRING ALESATORE D10  H7,GUHRING
INSERTO TELAIO IR27 FESATO,Inserto,,D31.3,31.3,,,,,,Dx,,,NUOVO,ALESATORI,,,INTERNO,1,,Metrico,INSERTO TELAIO IR27 FESATO,FESATO TELAIO
GUHRING MASCHIO AMERICANO 1/2 13 UNC,Maschio,,1/2,12.7,,,,,,Dx,,,NUOVO,MASCHI A,,HSSE 23074489,FIMU,1,Filettatura,Americano,GUHRING MASCHIO AMERICANO 1/2 13 UNC,AMERICANO GUHRING UNC
INSERTI FRESA KD16,Inserto,,JMB16-85R03-KD16,,,,,,,Dx,,,NUOVO,INSERTI FRESA,BRCL00054,B16B-ER,JONGEN,9,,Metrico,INSERTI FRESA KD16,INSERTI FRESA
FRESA D11.33,Fresa,Candela,D11.33,11.33,,,,,,Dx,,,USATO,FRESA METALLI2,,02985-FWT3120,RAFF,1,Fresatura,Metrico,FRESA D11.33,
GUHRING MASCHIO M10,Maschio,,M10,10.0,,,,,,Dx,,,USATO,MASCHI,,,FIMU,1,Filettatura,Metrico,GUHRING MASCHIO M10,GUHRING
SECO INSERTI FRESA TCGT32.51 F-AL,Inserto,,51,51.0,,,,,,Dx,,,NUOVO,INSERTI FRESA,BRCL01366,00015861,FIMU,9,,,SECO INSERTI FRESA TCGT32.51 F-AL,AL F TCGT32 SECO FRESA INSERTI
CARMEX INSERTI FRESA 14 I 2.5 ISO,Inserto,,14,14.0,,,,,,Dx,,,NUOVO,INSERTI FRESA,,0050400111,CARMEX,2,,,CARMEX INSERTI FRESA 14 I 2.5 ISO,CARMEX ISO FRESA I INSERTI
GUHRING PUNTA D5  K10 K20,Punta,,D5,5.0,,,,,,Dx,,,NUOVO,PUNTE1,,23660736,FIMU,0,Foratura,Metrico,GUHRING PUNTA D5  K10 K20,GUHRING
MASCHIO M10 6HX,Maschio,,M10,10.0,,,6HX,,,Dx,,,USATO,MASCHI,,,TUNG LOY,1,Filettatura,Metrico,MASCHIO M10 6HX,
GARANT INSERTI FRESA 1.5 HB7720,Inserto,,D1.5,1.5,,,,,,Dx,,,NUOVO,INSERTI FRESA,BRCL01290C,045197707062,HOFFMAN,1,,Metrico,GARANT INSERTI FRESA 1.5 HB7720,GARANT FRESA INSERTI
GARANT FRESA A INTERPOLAZIONE 18L,Fresa,Candela,18L,,,,,,,Dx,,,USATO,FRESA METALLI1,BRCL01291C,217252,HOFFMAN,1,Fresatura,,GARANT FRESA A INTERPOLAZIONE 18L,GARANT INTERPOLAZIONE A
INSERTI FRESA CCQT,Inserto,,CCQT 06204L,,,,,,,Dx,,,NUOVO,INSERTI FRESA,BRCL01289,,HOFFMAN,4,,,INSERTI FRESA CCQT,INSERTI FRESA
WNT FRESA METALLO DURO D12/2.0,Fresa,Candela,D12,12.0,,,,,,Dx,METALLO DURO,,USATO,FRESA METALLI2,,0093591115,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D12/2.0,WNT
MITSUBISHI INSERTI FRESA CCGH21.51LF,Inserto,,CCGH21.51LF,,,,,,,Dx,,,NUOVO,INSERTI FRESA,,FP8682ZGJM3GY,RAFF,4,,,MITSUBISHI INSERTI FRESA CCGH21.51LF,INSERTI FRESA MITSUBISHI
INSERTI TORNITURA CC.T0602D4 CC.T0602,Inserto,,D4,4.0,,,,,,Dx,,,NUOVO,INSERTI FRESA,BRCL01288C,,,3,Tornitura,Metrico,INSERTI TORNITURA CC.T0602D4 CC.T0602,CC TORNITURA T0602D4 INSERTI
INSERTI FRESA A DISCO 1.5MM,Inserto,,D1.5,1.5,,,,,,Dx,,,NUOVO,INSERTI FRESA,BRCL01230C,217297,,0,,Metrico,INSERTI FRESA A DISCO 1.5MM,5MM DISCO FRESA A INSERTI
HOLEX ALESATORE D10,Alesatore,,D10,10.0,,,,,,Dx,,,NUOVO,ALESATORI,BRCL00853,160150,HOFFMAN,1,,Metrico,HOLEX ALESATORE D10,HOLEX
GUHRING PUNTA D8 CRESTA DI GALLO,Punta,,D8,8.0,,,,,,Dx,,,NUOVO,PUNTE3,BRCL01377,K10K2023802644,FIMU,1,Foratura,Metrico,GUHRING PUNTA D8 CRESTA DI GALLO,CRESTA GUHRING GALLO DI
FRESA METALLO DURO D12,Fresa,Candela,D12,12.0,,,,,,Dx,METALLO DURO,,USATE,BELOTTIC1,,,BURZONI,3,Fresatura,Metrico,FRESA METALLO DURO D12,
FRESA METALLO DURO D12,Fresa,Candela,D12,12.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,,BURZONI,1,Fresatura,Metrico,FRESA METALLO DURO D12,
FRESA METALLO DURO D12 X 28.5,Fresa,Candela,D12,12.0,,28.5,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,,,1,Fresatura,Metrico,FRESA METALLO DURO D12 X 28.5,X
OSG FRESA METALLO DURO D10 X 29,Fresa,Candela,D10,10.0,,29.0,,,,Dx,METALLO DURO,,NUOVO,BELOTTIC1,,,RAFF,1,Fresatura,Metrico,OSG FRESA METALLO DURO D10 X 29,X OSG
WNT FRESA DIAMANTATA D10  X 23,Fresa,Candela,D10,10.0,,23.0,,,,Dx,,Diamante,USATO,BELOTTIC1,,,CERATIZIT,1,Fresatura,Metrico,WNT FRESA DIAMANTATA D10  X 23,X DIAMANTATA WNT
WNT FRESA DIAMANATAT D12 X 26.5,Fresa,Candela,D12,12.0,,26.5,,,,Dx,,,USATO,BELOTTIC1,,,CERATIZIT,1,Fresatura,Metrico,WNT FRESA DIAMANATAT D12 X 26.5,X DIAMANATAT WNT
FRESA DIAMANTATA D6,Fresa,Candela,D6,6.0,,,,,,Dx,,Diamante,USATO,BELOTTIC1,,,RAFF,1,Fresatura,Metrico,FRESA DIAMANTATA D6,DIAMANTATA
WNT FRESA METALLO DURO D 3.5  X15.5,Fresa,Candela,D3.5,3.5,,15.5,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D 3.5  X15.5,D WNT
FRESA NUDA D 5,Fresa,Candela,D5,5.0,,,,,,Dx,,Nuda,USATO,BELOTTIC1,,,RIME,3,Fresatura,Metrico,FRESA NUDA D 5,D
FRESA METALLO DURO D6,Fresa,Candela,D6,6.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,,BURZONI,2,Fresatura,Metrico,FRESA METALLO DURO D6,
FRESA NUDA D16X120X72,Fresa,Candela,D16,16.0,,120.0,,,,Dx,,Nuda,USATISSIMO,BELOTTIC1,,,FAPIL,1,Fresatura,Metrico,FRESA NUDA D16X120X72,D16X120X72
FRESA NUDA D8,Fresa,Candela,D8,8.0,,,,,,Dx,,Nuda,USATO,BELOTTIC1,,,RAFF,1,Fresatura,Metrico,FRESA NUDA D8,
FRESA NUDA D8,Fresa,Candela,D8,8.0,,,,,,Dx,,Nuda,USATO,BELOTTIC1,,,RAFF,1,Fresatura,Metrico,FRESA NUDA D8,
FRESA DIAMANTATA D8,Fresa,Candela,D8,8.0,,,,,,Dx,,Diamante,USATO,BELOTTIC1,,,BURZONI,1,Fresatura,Metrico,FRESA DIAMANTATA D8,DIAMANTATA
FRESA NUDA D8,Fresa,Candela,D8,8.0,,,,,,Dx,,Nuda,USATO,BELOTTIC1,,,RAFF,1,Fresatura,Metrico,FRESA NUDA D8,
FRESA METALLO DURO D6,Fresa,Candela,D6,6.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,,RIME,1,Fresatura,Metrico,FRESA METALLO DURO D6,
FRESA METALLO DURO D20,Fresa,Candela,D20,20.0,,,,,,Dx,METALLO DURO,,USATISIMO,BELOTTIC1,,,BURZONI,3,Fresatura,Metrico,FRESA METALLO DURO D20,
FRESA MEALLO DURO D16 X 46.5,Fresa,Candela,D16,16.0,,46.5,,,,Dx,,,USATO,BELOTTIC1,,,,1,Fresatura,Metrico,FRESA MEALLO DURO D16 X 46.5,X MEALLO DURO
FRESA NUDA D19 X 54,Fresa,Candela,D19,19.0,,54.0,,,,Dx,,Nuda,USATO,BELOTTIC1,,,,1,Fresatura,Metrico,FRESA NUDA D19 X 54,X
WNT FRESA METALLO DURO D12,Fresa,Candela,D12,12.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,0093480833,CERATIZIT,4,Fresatura,Metrico,WNT FRESA METALLO DURO D12,WNT
GARANT FRESA METALLO DURO D11,Fresa,Candela,D11,11.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,0094106807,HOFFMAN,1,Fresatura,Metrico,GARANT FRESA METALLO DURO D11,GARANT
GARANT FRESA METALLO DURO D6,Fresa,Candela,D6,6.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,0094390955,HOFFMAN,2,Fresatura,Metrico,GARANT FRESA METALLO DURO D6,GARANT
WNT FRESA METALLO DURO D4,Fresa,Candela,D4,4.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,53523050,CERATIZIT,2,Fresatura,Metrico,WNT FRESA METALLO DURO D4,WNT
FRESA A GRATTUGIA D8,Fresa,Candela,D8,8.0,,,,,,Dx,,,USATO,BELOTTIC1,,,BURZONI,3,Fresatura,Metrico,FRESA A GRATTUGIA D8,GRATTUGIA A
WNT FRESA METALLO DURO D6,Fresa,Candela,D6,6.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D6,WNT
WNT FRESA METALLO DURO D5,Fresa,Candela,D5,5.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D5,WNT
GARANT FRESA METALLO DURO D7,Fresa,Candela,D7,7.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,0094064631,HOFFMAN,2,Fresatura,Metrico,GARANT FRESA METALLO DURO D7,GARANT
FRESA METALLO DURO D8,Fresa,Candela,D8,8.0,,,,,,Dx,METALLO DURO,,NUOVO,BELOTTIC1,BRCL000400000137,202272,HOFFMAN,1,Fresatura,Metrico,FRESA METALLO DURO D8,
FRESA RIAFFILATA D6,Fresa,Candela,D6,6.0,,,,,,Dx,,,RIAFFILATA,BELOTTIC1,,0093954358,HOFFMAN,1,Fresatura,Metrico,FRESA RIAFFILATA D6,RIAFFILATA
WNTFRESA METALLO DURO D6,Fresa,Candela,D6,6.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,53 618 06200,CERATIZIT,1,Fresatura,Metrico,WNTFRESA METALLO DURO D6,WNTFRESA
FRESA METALLO DURO D8,Fresa,Candela,D8,8.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,,BURZONI,1,Fresatura,Metrico,FRESA METALLO DURO D8,
WNT FRESA METALLO DURO D20,Fresa,Candela,D20,20.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,54 070 20200,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D20,WNT
FRESA RIAFFILATA D16,Fresa,Candela,D16,16.0,,,,,,Dx,,,RIAFFILATA,BELOTTIC1,,,RAFF,1,Fresatura,Metrico,FRESA RIAFFILATA D16,RIAFFILATA
KARNASCH FRESA DIAMANTATA D10  X60,Fresa,Karnasch,D10,10.0,,60.0,,,,Dx,,Diamante,USATO,BELOTTIC1,,,RAFF,1,Fresatura,Metrico,KARNASCH FRESA DIAMANTATA D10  X60,DIAMANTATA
CERIN FRESA DIAMANTATA D8,Fresa,Candela,D8,8.0,,,,,,Dx,,Diamante,USATO,BELOTTIC1,,,CERIN,1,Fresatura,Metrico,CERIN FRESA DIAMANTATA D8,DIAMANTATA CERIN
KENNAMETAL FRESA DIAMANTATA D11.9,Fresa,Candela,D11.9,11.9,,,,,,Dx,,Diamante,USATO,BELOTTIC1,,,FIMU,1,Fresatura,Metrico,KENNAMETAL FRESA DIAMANTATA D11.9,DIAMANTATA KENNAMETAL
KENNAMETAL FRESA DIAMANTATA D6,Fresa,Candela,D6,6.0,,,,,,Dx,,Diamante,USATO,BELOTTIC1,,,FIMU,1,Fresatura,Metrico,KENNAMETAL FRESA DIAMANTATA D6,DIAMANTATA KENNAMETAL
FRESA DIAMANTATA D16,Fresa,Candela,D16,16.0,,,,,,Dx,,Diamante,USATO,BELOTTIC1,,,RAFF,1,Fresatura,Metrico,FRESA DIAMANTATA D16,DIAMANTATA
FRESA NUDA D12 LUNGA,Fresa,Candela,D12,12.0,,,,,,Dx,,Nuda,USATO,BELOTTIC1,,,CERATIZIT,3,Fresatura,Metrico,FRESA NUDA D12 LUNGA,LUNGA
WNT FRESA NUDA D12,Fresa,Candela,D12,12.0,,,,,,Dx,,Nuda,USATO,BELOTTIC1,,,CERATIZIT,1,Fresatura,Metrico,WNT FRESA NUDA D12,WNT
FRESA METALLO DURO D14,Fresa,Candela,D14,14.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC1,,,,1,Fresatura,Metrico,FRESA METALLO DURO D14,
RIME FRESA A PUNTA D10,Punta,,D10,10.0,,,,,,Dx,,,USATO,BELOTTIC1,,,RIME,1,Foratura,Metrico,RIME FRESA A PUNTA D10,RIME FRESA A
KENNAMETAL FRESA DIAMANTATA D 8,Fresa,Candela,D8,8.0,,,,,,Dx,,Diamante,USATO,BELOTTIC1,,CCNC0800A4BH,FIMU,1,Fresatura,Metrico,KENNAMETAL FRESA DIAMANTATA D 8,D DIAMANTATA KENNAMETAL
FRESA A INSERTI D20,Fresa,Inserti,D20,20.0,,,,,,Dx,,,USATO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA A INSERTI D20,A
FRESA SFERICA METALLO DURO D12,Fresa,Sferica,D12,12.0,6.0,,,,,Dx,METALLO DURO,,USATO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA SFERICA METALLO DURO D12,
FRESA METALLO DURO D1.1,Fresa,Candela,D1.1,1.1,,,,,,Dx,METALLO DURO,,NUOVO,BELOTTIC2,,HTQ11/06,RIME,1,Fresatura,Metrico,FRESA METALLO DURO D1.1,
FRESA NUDA SFERICA D2,Fresa,Sferica,D2,2.0,1.0,,,,,Dx,,Nuda,NUOVO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA NUDA SFERICA D2,
FRESA NUDA D1.3,Fresa,Candela,D1.3,1.3,,,,,,Dx,,Nuda,NUOVO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA NUDA D1.3,
FRESA METALLO DURO D2,Fresa,Candela,D2,2.0,,,,,,Dx,METALLO DURO,,NUOVO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA METALLO DURO D2,
FRESA NUDA SFERICA D1,Fresa,Sferica,D1,1.0,0.5,,,,,Dx,,Nuda,NUOVO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA NUDA SFERICA D1,
